"","V1","V2"
"1",1,41
"2",1,46
"3",1,62
"4",1,111
"5",1,181
"6",1,182
"7",1,184
"8",1,199
"9",1,215
"10",1,224
"11",1,229
"12",1,253
"13",1,264
"14",1,275
"15",1,305
"16",1,313
"17",1,322
"18",1,325
"19",1,330
"20",1,346
"21",1,355
"22",1,363
"23",1,372
"24",1,391
"25",1,438
"26",1,455
"27",1,460
"28",1,465
"29",1,483
"30",1,492
"31",1,1667
"32",2,3
"33",2,15
"34",2,42
"35",2,45
"36",2,75
"37",2,95
"38",2,123
"39",2,151
"40",2,153
"41",2,155
"42",2,159
"43",2,172
"44",2,180
"45",2,199
"46",2,254
"47",2,273
"48",2,282
"49",2,300
"50",2,322
"51",2,335
"52",2,338
"53",2,348
"54",2,365
"55",2,430
"56",2,452
"57",2,455
"58",2,496
"59",3,2
"60",3,20
"61",3,35
"62",3,69
"63",3,97
"64",3,106
"65",3,115
"66",3,140
"67",3,148
"68",3,169
"69",3,187
"70",3,191
"71",3,200
"72",3,239
"73",3,253
"74",3,274
"75",3,280
"76",3,284
"77",3,287
"78",3,290
"79",3,311
"80",3,313
"81",3,314
"82",3,332
"83",3,357
"84",3,359
"85",3,368
"86",3,375
"87",3,385
"88",3,445
"89",3,490
"90",4,12
"91",4,47
"92",4,104
"93",4,112
"94",4,134
"95",4,153
"96",4,163
"97",4,185
"98",4,241
"99",4,251
"100",4,291
"101",4,300
"102",4,336
"103",4,338
"104",4,353
"105",4,399
"106",4,416
"107",4,423
"108",4,440
"109",4,450
"110",4,453
"111",4,459
"112",4,480
"113",4,498
"114",5,8
"115",5,9
"116",5,31
"117",5,74
"118",5,124
"119",5,125
"120",5,151
"121",5,180
"122",5,181
"123",5,186
"124",5,187
"125",5,247
"126",5,252
"127",5,259
"128",5,260
"129",5,272
"130",5,280
"131",5,294
"132",5,300
"133",5,310
"134",5,333
"135",5,336
"136",5,337
"137",5,341
"138",5,389
"139",5,406
"140",5,431
"141",5,496
"142",5,500
"143",6,15
"144",6,27
"145",6,37
"146",6,43
"147",6,59
"148",6,132
"149",6,149
"150",6,208
"151",6,223
"152",6,235
"153",6,250
"154",6,253
"155",6,257
"156",6,293
"157",6,315
"158",6,334
"159",6,360
"160",6,372
"161",6,375
"162",6,384
"163",6,396
"164",6,424
"165",6,433
"166",6,442
"167",6,495
"168",6,497
"169",7,14
"170",7,15
"171",7,87
"172",7,110
"173",7,133
"174",7,147
"175",7,150
"176",7,186
"177",7,246
"178",7,269
"179",7,276
"180",7,302
"181",7,339
"182",7,350
"183",7,381
"184",7,383
"185",7,425
"186",8,5
"187",8,20
"188",8,40
"189",8,41
"190",8,140
"191",8,152
"192",8,155
"193",8,191
"194",8,231
"195",8,269
"196",8,322
"197",8,338
"198",8,344
"199",8,369
"200",8,409
"201",8,425
"202",8,448
"203",8,478
"204",8,480
"205",8,494
"206",8,499
"207",9,5
"208",9,44
"209",9,50
"210",9,87
"211",9,103
"212",9,111
"213",9,126
"214",9,173
"215",9,202
"216",9,208
"217",9,245
"218",9,246
"219",9,247
"220",9,254
"221",9,273
"222",9,295
"223",9,303
"224",9,346
"225",9,384
"226",9,410
"227",9,428
"228",9,430
"229",9,452
"230",9,458
"231",9,488
"232",10,15
"233",10,17
"234",10,18
"235",10,19
"236",10,65
"237",10,102
"238",10,120
"239",10,128
"240",10,142
"241",10,163
"242",10,231
"243",10,233
"244",10,237
"245",10,254
"246",10,288
"247",10,317
"248",10,326
"249",10,327
"250",10,342
"251",10,393
"252",10,428
"253",10,454
"254",10,459
"255",10,500
